HK/   AAT og VLT:
Raw weights
                                                                                
8182 data points:
0001-5169  (5169 data points)   AAT/UCLES i Australien
5179-8182  (3013 data points)   VLT/UVES (ESO) i Chile
                                                                                
    Time (sec)    Data(m/s)    sigma(m/s)
-------------------------------------------
      354456.     0.105380      1.66606
      354476.     -1.34212      1.70143
      354495.     0.577070      1.71253
      354515.   -0.0672200      1.76168
      354535.     0.895870      1.70807
      354557.      3.24441      1.53389
      354576.     -1.66617      1.84029
      354596.      2.30448      1.63485
      354617.      2.25273      1.60525
      354637.      4.44417      1.72895
      354657.      2.60475      1.58571
      354676.      5.09092      1.96977
      354696.    0.0703400      1.72365
      354717.   -0.0289000      1.84381
      354737.      1.33810      1.89515
      354758.      2.14854      1.71306
      354779.   -0.0997700      1.66816
      354800.    -0.111980      1.61665
      354820.     -1.56670      1.62290
      354842.     -3.44385      1.73008
      354862.     -4.66982      1.99834
      354884.      1.66553      1.99250
      354905.    -0.700680      1.66312
      354924.      2.34775      1.76570
      354946.    -0.318120      1.71895
      354966.      4.82109      1.93352
      354987.      1.26724      1.71909
      355008.     0.398900      1.95682
      355028.      4.01661      1.69926
      355050.      2.75981      1.85249
      355071.      4.41023      1.91670
      355092.      2.35273      1.78022
      355113.      2.78806      1.71764
      355135.      2.19410      1.82788
      355157.     -1.30205      1.77309
      355179.     -1.99230      1.69153
      355201.      1.55925      1.45139
      355223.     -1.60223      1.48143
      355244.      3.12173      1.65819
      355266.      1.98927      1.53554
      355287.    -0.100570      1.42448
      355309.     -2.06012      1.48099
      355330.      1.01028      1.50825
      355352.     -1.63680      1.32373
      355373.     0.899850      1.37544
      355395.      5.59099      1.93682
      355416.     -2.20352      1.69084
      355437.      2.42813      1.55129
      355459.    -0.135630      1.71595
      355480.      2.59367      1.45372
      355502.      2.45118      1.90649
      355523.      1.42421      1.76540
      355545.      5.21648      1.91635
      355567.      1.39191      1.47576
